lg,label,rep,depth,origin,excess,rest,cnt,day,seq_name
3285.0,1023-501,19.0,2,,waste,60.0,18,6,6m
1540.0,1023-765,1.0,2,new,,,19,6,6m
4390.0,1023-906,29.0,2,,waste,70.0,19,6,6m
2620.0,1023-976,12.0,1,new,3m0,,20,6,6m
2715.0,1023-772,14.0,1,new,3m0,,21,6,6m
2725.0,1023-660,15.0,1,new,3m0,,22,6,6m
2785.0,1023-252,16.0,1,new,3m0,,23,6,6m
3730.0,1023-626,21.0,1,new,2m0,,24,6,6m
3780.0,1023-479,22.0,1,new,2m0,,25,6,6m
3930.0,1023-646,23.0,1,new,2m0,,26,6,6m
4030.0,1023-546,24.0,1,new,1m5,,27,6,6m
4255.0,1023-291,25.0,1,new,1m5,,28,6,6m
4285.0,1023-769,26.0,1,new,1m5,,29,6,6m
4300.0,1023-247,27.0,1,new,1m5,,30,6,6m
4940.0,1023-656,30.0,1,new,waste,1060.0,31,6,6m
5060.0,1023-589,31.0,1,new,waste,940.0,1,6,SS
5295.0,1023-275,32.0,1,new,waste,705.0,2,6,SS
5370.0,1023-946,33.0,1,new,waste,630.0,3,6,SS
5465.0,1023-249,34.0,1,new,waste,535.0,4,6,SS
1480.0,1023-571,0.0,1,1m5,waste,125.0,5,6,SS
2790.0,1023-621,17.0,1,3m0,waste,125.0,6,6,SS
2715.0,1023-772,14.0,1,2m75,waste,125.0,7,6,SS
2655.0,1023-399,13.0,1,2m75,waste,125.0,8,6,SS
2620.0,1023-976,12.0,1,2m75,waste,125.0,9,6,SS
2340.0,1023-967,11.0,1,2m5,waste,125.0,10,6,SS
2725.0,1023-660,15.0,1,2m75,waste,125.0,11,6,SS
2305.0,1023-925,9.0,1,2m5,waste,125.0,12,6,SS
2325.0,1023-250,10.0,1,2m5,waste,125.0,13,6,SS
1615.0,1023-593,2.0,1,1m75,waste,125.0,14,6,SS
1655.0,1023-240,3.0,1,1m75,waste,125.0,15,6,SS
1855.0,1023-226,4.0,1,2m0,waste,125.0,16,6,SS
1955.0,1023-805,6.0,1,2m0,waste,125.0,17,6,SS
2125.0,1023-686,7.0,1,2m25,waste,125.0,18,6,SS
2240.0,1023-868,8.0,2,new,,,19,6,SS
3730.0,1023-626,21.0,2,,waste,30.0,19,6,SS
2785.0,1023-252,16.0,2,new,,,20,6,SS
3160.0,1023-242,18.0,2,,waste,55.0,20,6,SS
1540.0,1023-765,1.0,2,new,,,21,6,SS
4390.0,1023-906,29.0,2,,waste,70.0,21,6,SS
3285.0,1023-501,19.0,1,new,2m5,,22,6,SS
3305.0,1023-951,20.0,1,new,2m5,,23,6,SS
3780.0,1023-479,22.0,1,new,2m0,,24,6,SS
3930.0,1023-646,23.0,1,new,2m0,,25,6,SS
4030.0,1023-546,24.0,1,new,1m75,,26,6,SS
4255.0,1023-291,25.0,1,new,1m5,,27,6,SS
4285.0,1023-769,26.0,1,new,1m5,,28,6,SS
4300.0,1023-247,27.0,1,new,1m5,,29,6,SS
4350.0,1023-472,28.0,1,new,1m5,,30,6,SS
1865.0,1023-386,5.0,1,new,split,,31,6,SS
3750.0,,,1,split,waste,385.0,31,6,SS
4940.0,1023-656,30.0,1,new,waste,1060.0,32,6,SS
3425.0,1023-222,24.0,1,3m5,waste,250.0,1,7,8m
3405.0,1023-698,23.0,1,3m5,waste,250.0,2,7,8m
3395.0,1023-451,22.0,1,3m5,waste,250.0,3,7,8m
2980.0,1023-732,18.0,1,3m0,waste,250.0,4,7,8m
2980.0,1023-312,17.0,1,3m0,waste,250.0,5,7,8m
2900.0,1023-726,16.0,1,3m0,waste,250.0,6,7,8m
1830.0,1023-482,4.0,1,2m0,waste,250.0,7,7,8m
2045.0,1023-773,5.0,1,2m5,waste,250.0,8,7,8m
2170.0,1023-310,7.0,1,2m5,waste,250.0,9,7,8m
2190.0,1023-576,8.0,1,2m5,waste,250.0,10,7,8m
2070.0,1023-417,6.0,1,2m5,waste,250.0,11,7,8m
1050.0,1023-885,0.0,2,2m5,,,12,7,8m
1380.0,1023-592,2.0,2,,waste,250.0,12,7,8m
3020.0,1023-817,19.0,2,new,,,13,7,8m
4965.0,1023-464,40.0,2,,waste,15.0,13,7,8m
1160.0,1023-815,1.0,3,new,,,14,7,8m
3255.0,1023-894,21.0,3,,,,14,7,8m
3550.0,1023-622,25.0,3,,waste,35.0,14,7,8m
2820.0,1023-568,15.0,2,new,,,15,7,8m
5130.0,1023-419,43.0,2,,waste,50.0,15,7,8m
3880.0,1023-851,27.0,2,new,,,16,7,8m
3880.0,1023-851,28.0,2,,waste,240.0,16,7,8m
3880.0,1023-851,29.0,2,new,,,17,7,8m
3880.0,1023-851,30.0,2,,waste,240.0,17,7,8m
3880.0,1023-851,31.0,2,new,,,18,7,8m
3880.0,1023-851,32.0,2,,waste,240.0,18,7,8m
3805.0,1023-699,26.0,2,new,,,19,7,8m
3880.0,1023-851,33.0,2,,waste,315.0,19,7,8m
1805.0,1023-896,3.0,3,new,,,20,7,8m
2770.0,1023-587,13.0,3,,,,20,7,8m
3195.0,1023-462,20.0,3,,waste,230.0,20,7,8m
2735.0,1023-910,9.0,2,new,,,21,7,8m
2770.0,1023-961,14.0,2,,2m0,,21,7,8m
2735.0,1023-910,12.0,2,new,,,22,7,8m
4200.0,1023-648,34.0,2,,1m0,,22,7,8m
2735.0,1023-910,10.0,2,new,,,23,7,8m
2735.0,1023-910,11.0,2,,2m5,,23,7,8m
4305.0,1023-224,35.0,1,new,3m5,,24,7,8m
5115.0,1023-816,42.0,1,new,2m5,,25,7,8m
5070.0,1023-590,41.0,1,new,2m5,,26,7,8m
4940.0,1023-559,39.0,1,new,3m0,,27,7,8m
4925.0,1023-371,38.0,1,new,3m0,,28,7,8m
4310.0,1023-327,37.0,1,new,3m5,,29,7,8m
4310.0,1023-515,36.0,1,new,3m5,,30,7,8m
1050.0,1023-885,0.0,1,1m5,waste,250.0,1,7,7m
2980.0,1023-732,18.0,1,3m0,waste,250.0,2,7,7m
2980.0,1023-312,17.0,1,3m0,waste,250.0,3,7,7m
1160.0,1023-815,1.0,1,1m5,waste,250.0,4,7,7m
1380.0,1023-592,2.0,1,1m5,waste,250.0,5,7,7m
1830.0,1023-482,4.0,1,2m0,waste,250.0,6,7,7m
2045.0,1023-773,5.0,1,2m5,waste,250.0,7,7,7m
1805.0,1023-896,3.0,1,2m0,waste,250.0,8,7,7m
2170.0,1023-310,7.0,1,2m5,waste,250.0,9,7,7m
2190.0,1023-576,8.0,1,2m5,waste,250.0,10,7,7m
2070.0,1023-417,6.0,1,2m5,waste,250.0,11,7,7m
3425.0,1023-222,24.0,2,new,,,12,7,7m
3550.0,1023-622,25.0,2,,waste,25.0,12,7,7m
2770.0,1023-587,13.0,2,new,,,13,7,7m
4200.0,1023-648,34.0,2,,waste,30.0,13,7,7m
3020.0,1023-817,19.0,2,new,,,14,7,7m
3880.0,1023-851,27.0,2,,waste,100.0,14,7,7m
2735.0,1023-910,9.0,2,new,,,15,7,7m
2900.0,1023-726,16.0,2,,1m0,,15,7,7m
2735.0,1023-910,10.0,2,new,,,16,7,7m
2735.0,1023-910,11.0,2,,1m5,,16,7,7m
2735.0,1023-910,12.0,2,new,,,17,7,7m
2770.0,1023-961,14.0,2,,1m0,,17,7,7m
3255.0,1023-894,21.0,1,new,3m5,,18,7,7m
3880.0,1023-851,33.0,1,new,3m0,,19,7,7m
3395.0,1023-451,22.0,1,new,3m5,,20,7,7m
3405.0,1023-698,23.0,1,new,3m5,,21,7,7m
3805.0,1023-699,26.0,1,new,3m0,,22,7,7m
3880.0,1023-851,28.0,1,new,3m0,,23,7,7m
3880.0,1023-851,29.0,1,new,3m0,,24,7,7m
3880.0,1023-851,30.0,1,new,3m0,,25,7,7m
3880.0,1023-851,31.0,1,new,3m0,,26,7,7m
3880.0,1023-851,32.0,1,new,3m0,,27,7,7m
4310.0,1023-327,37.0,1,new,2m5,,28,7,7m
4305.0,1023-224,35.0,1,new,2m5,,29,7,7m
4310.0,1023-515,36.0,1,new,2m5,,30,7,7m
4925.0,1023-371,38.0,1,new,2m0,,31,7,7m
4940.0,1023-559,39.0,1,new,2m0,,32,7,7m
4965.0,1023-464,40.0,1,new,2m0,,33,7,7m
5070.0,1023-590,41.0,1,new,1m5,,34,7,7m
5115.0,1023-816,42.0,1,new,1m5,,35,7,7m
5130.0,1023-419,43.0,1,new,1m5,,36,7,7m
3195.0,1023-462,20.0,1,new,3m5,,37,7,7m
2820.0,1023-568,15.0,1,new,split,,38,7,7m
3500.0,,,1,split,waste,680.0,38,7,7m
5070.0,1023-590,41.0,1,new,waste,930.0,1,7,6m
5115.0,1023-816,42.0,1,new,waste,885.0,2,7,6m
5130.0,1023-419,43.0,1,new,waste,870.0,3,7,6m
1050.0,1023-885,0.0,1,1m5,waste,250.0,4,7,6m
2980.0,1023-732,18.0,1,3m0,waste,250.0,5,7,6m
2980.0,1023-312,17.0,1,3m0,waste,250.0,6,7,6m
2900.0,1023-726,16.0,1,3m0,waste,250.0,7,7,6m
2820.0,1023-568,15.0,1,3m0,waste,250.0,8,7,6m
1160.0,1023-815,1.0,1,1m5,waste,250.0,9,7,6m
1380.0,1023-592,2.0,1,1m5,waste,250.0,10,7,6m
1830.0,1023-482,4.0,1,2m0,waste,250.0,11,7,6m
2045.0,1023-773,5.0,1,2m5,waste,250.0,12,7,6m
1805.0,1023-896,3.0,1,2m0,waste,250.0,13,7,6m
2170.0,1023-310,7.0,1,2m5,waste,250.0,14,7,6m
2190.0,1023-576,8.0,1,2m5,waste,250.0,15,7,6m
2070.0,1023-417,6.0,1,2m5,waste,250.0,16,7,6m
2735.0,1023-910,9.0,2,new,,,17,7,6m
3255.0,1023-894,21.0,2,,waste,10.0,17,7,6m
2770.0,1023-587,13.0,2,new,,,18,7,6m
3195.0,1023-462,20.0,2,,waste,35.0,18,7,6m
2735.0,1023-910,10.0,1,new,3m0,,19,7,6m
2735.0,1023-910,11.0,1,new,3m0,,20,7,6m
4310.0,1023-327,37.0,1,new,1m5,,21,7,6m
4310.0,1023-515,36.0,1,new,1m5,,22,7,6m
4305.0,1023-224,35.0,1,new,1m5,,23,7,6m
4200.0,1023-648,34.0,1,new,1m5,,24,7,6m
3880.0,1023-851,33.0,1,new,2m0,,25,7,6m
3880.0,1023-851,32.0,1,new,2m0,,26,7,6m
3880.0,1023-851,31.0,1,new,2m0,,27,7,6m
3880.0,1023-851,30.0,1,new,2m0,,28,7,6m
3880.0,1023-851,29.0,1,new,2m0,,29,7,6m
3880.0,1023-851,28.0,1,new,2m0,,30,7,6m
3880.0,1023-851,27.0,1,new,2m0,,31,7,6m
3805.0,1023-699,26.0,1,new,2m0,,32,7,6m
3550.0,1023-622,25.0,1,new,2m0,,33,7,6m
3425.0,1023-222,24.0,1,new,2m5,,34,7,6m
3405.0,1023-698,23.0,1,new,2m5,,35,7,6m
3395.0,1023-451,22.0,1,new,2m5,,36,7,6m
3020.0,1023-817,19.0,1,new,2m5,,37,7,6m
2770.0,1023-961,14.0,1,new,3m0,,38,7,6m
2735.0,1023-910,12.0,1,new,3m0,,39,7,6m
4925.0,1023-371,38.0,1,new,waste,1075.0,40,7,6m
4940.0,1023-559,39.0,1,new,waste,1060.0,41,7,6m
4965.0,1023-464,40.0,1,new,waste,1035.0,42,7,6m
5070.0,1023-590,41.0,1,new,waste,930.0,1,7,SS
5115.0,1023-816,42.0,1,new,waste,885.0,2,7,SS
5130.0,1023-419,43.0,1,new,waste,870.0,3,7,SS
1050.0,1023-885,0.0,1,1m25,waste,125.0,4,7,SS
3550.0,1023-622,25.0,1,3m75,waste,125.0,5,7,SS
2735.0,1023-910,11.0,1,2m75,waste,125.0,6,7,SS
1830.0,1023-482,4.0,1,2m0,waste,125.0,7,7,SS
1805.0,1023-896,3.0,1,2m0,waste,125.0,8,7,SS
1380.0,1023-592,2.0,1,1m5,waste,125.0,9,7,SS
1160.0,1023-815,1.0,1,1m25,waste,125.0,10,7,SS
2190.0,1023-576,8.0,2,new,,,11,7,SS
3805.0,1023-699,26.0,2,,waste,5.0,11,7,SS
2735.0,1023-910,9.0,2,new,,,12,7,SS
3255.0,1023-894,21.0,2,,waste,10.0,12,7,SS
2770.0,1023-587,13.0,2,new,,,13,7,SS
3195.0,1023-462,20.0,2,,waste,35.0,13,7,SS
2980.0,1023-312,17.0,2,new,,,14,7,SS
2980.0,1023-732,18.0,2,,waste,40.0,14,7,SS
2070.0,1023-417,6.0,2,new,,,15,7,SS
3880.0,1023-851,27.0,2,,waste,50.0,15,7,SS
2045.0,1023-773,5.0,2,new,,,16,7,SS
3880.0,1023-851,28.0,2,,waste,75.0,16,7,SS
2900.0,1023-726,16.0,2,new,,,17,7,SS
3020.0,1023-817,19.0,2,,waste,80.0,17,7,SS
2735.0,1023-910,10.0,1,new,3m25,,18,7,SS
4310.0,1023-327,37.0,1,new,1m5,,19,7,SS
4310.0,1023-515,36.0,1,new,1m5,,20,7,SS
4305.0,1023-224,35.0,1,new,1m5,,21,7,SS
4200.0,1023-648,34.0,1,new,1m75,,22,7,SS
2170.0,1023-310,7.0,1,new,3m75,,23,7,SS
3880.0,1023-851,32.0,1,new,2m0,,24,7,SS
3880.0,1023-851,31.0,1,new,2m0,,25,7,SS
3880.0,1023-851,30.0,1,new,2m0,,26,7,SS
3880.0,1023-851,29.0,1,new,2m0,,27,7,SS
3425.0,1023-222,24.0,1,new,2m5,,28,7,SS
3405.0,1023-698,23.0,1,new,2m5,,29,7,SS
3395.0,1023-451,22.0,1,new,2m5,,30,7,SS
2820.0,1023-568,15.0,1,new,3m0,,31,7,SS
2770.0,1023-961,14.0,1,new,3m0,,32,7,SS
2735.0,1023-910,12.0,1,new,3m25,,33,7,SS
3880.0,1023-851,33.0,1,new,2m0,,34,7,SS
4925.0,1023-371,38.0,1,new,waste,1075.0,35,7,SS
4940.0,1023-559,39.0,1,new,waste,1060.0,36,7,SS
4965.0,1023-464,40.0,1,new,waste,1035.0,37,7,SS
3010.0,1023-349,18.0,1,3m5,waste,250.0,1,8,8m
2995.0,1023-502,17.0,1,3m0,waste,250.0,2,8,8m
2865.0,1023-879,16.0,1,3m0,waste,250.0,3,8,8m
2480.0,1023-860,14.0,1,2m5,waste,250.0,4,8,8m
2380.0,1023-762,13.0,1,2m5,waste,250.0,5,8,8m
2380.0,1023-762,12.0,1,2m5,waste,250.0,6,8,8m
2360.0,1023-220,11.0,1,2m5,waste,250.0,7,8,8m
2240.0,1023-644,10.0,1,2m5,waste,250.0,8,8,8m
2495.0,1023-596,15.0,1,2m5,waste,250.0,9,8,8m
1605.0,1023-576,8.0,1,2m0,waste,250.0,10,8,8m
1235.0,1023-329,3.0,2,3m5,,,11,8,8m
1805.0,1023-725,9.0,2,,waste,250.0,11,8,8m
1100.0,1023-205,0.0,2,2m5,,,12,8,8m
1160.0,1023-748,1.0,2,,waste,250.0,12,8,8m
1275.0,1023-953,5.0,3,new,,,13,8,8m
1405.0,1023-297,7.0,3,,,,13,8,8m
5290.0,1023-906,32.0,3,,waste,30.0,13,8,8m
3730.0,1023-679,19.0,2,new,,,14,8,8m
4230.0,1023-363,23.0,2,,waste,40.0,14,8,8m
1225.0,1023-255,2.0,3,new,,,15,8,8m
1235.0,1023-329,4.0,3,,,,15,8,8m
5450.0,1023-559,33.0,3,,waste,90.0,15,8,8m
3870.0,1023-426,20.0,2,new,,,16,8,8m
4030.0,1023-837,22.0,2,,waste,100.0,16,8,8m
1375.0,1023-796,6.0,2,new,,,17,8,8m
5590.0,1023-486,43.0,2,,1m0,,17,8,8m
4350.0,1023-915,24.0,1,new,3m5,,18,8,8m
4025.0,1023-840,21.0,1,new,3m5,,19,8,8m
5680.0,1023-614,44.0,1,new,2m0,,20,8,8m
5450.0,1023-559,34.0,1,new,2m5,,21,8,8m
4415.0,1023-895,25.0,1,new,3m5,,22,8,8m
4490.0,1023-878,26.0,1,new,3m5,,23,8,8m
4565.0,1023-973,27.0,1,new,3m0,,24,8,8m
4685.0,1023-538,28.0,1,new,3m0,,25,8,8m
5025.0,1023-227,29.0,1,new,2m5,,26,8,8m
5060.0,1023-314,30.0,1,new,2m5,,27,8,8m
5275.0,1023-856,31.0,1,new,2m5,,28,8,8m
5450.0,1023-559,35.0,1,new,2m5,,29,8,8m
5450.0,1023-559,36.0,1,new,2m5,,30,8,8m
5450.0,1023-559,37.0,1,new,2m5,,31,8,8m
5450.0,1023-559,38.0,1,new,2m5,,32,8,8m
5450.0,1023-559,39.0,1,new,2m5,,33,8,8m
5450.0,1023-559,40.0,1,new,2m5,,34,8,8m
5450.0,1023-559,41.0,1,new,2m5,,35,8,8m
5450.0,1023-559,42.0,1,new,2m5,,36,8,8m
5695.0,1023-431,45.0,1,new,2m0,,37,8,8m
1100.0,1023-205,0.0,1,1m5,waste,250.0,1,8,7m
3010.0,1023-349,18.0,1,3m5,waste,250.0,2,8,7m
2995.0,1023-502,17.0,1,3m0,waste,250.0,3,8,7m
2865.0,1023-879,16.0,1,3m0,waste,250.0,4,8,7m
2480.0,1023-860,14.0,1,2m5,waste,250.0,5,8,7m
2380.0,1023-762,13.0,1,2m5,waste,250.0,6,8,7m
2380.0,1023-762,12.0,1,2m5,waste,250.0,7,8,7m
2360.0,1023-220,11.0,1,2m5,waste,250.0,8,8,7m
2240.0,1023-644,10.0,1,2m5,waste,250.0,9,8,7m
2495.0,1023-596,15.0,1,2m5,waste,250.0,10,8,7m
1605.0,1023-576,8.0,1,2m0,waste,250.0,11,8,7m
1405.0,1023-297,7.0,1,1m5,waste,250.0,12,8,7m
1375.0,1023-796,6.0,1,1m5,waste,250.0,13,8,7m
1275.0,1023-953,5.0,1,1m5,waste,250.0,14,8,7m
1235.0,1023-329,4.0,1,1m5,waste,250.0,15,8,7m
1235.0,1023-329,3.0,1,1m5,waste,250.0,16,8,7m
1225.0,1023-255,2.0,1,1m5,waste,250.0,17,8,7m
1160.0,1023-748,1.0,1,1m5,waste,250.0,18,8,7m
1805.0,1023-725,9.0,1,2m0,waste,250.0,19,8,7m
3730.0,1023-679,19.0,1,new,3m0,,20,8,7m
5450.0,1023-559,33.0,1,new,1m5,,21,8,7m
5680.0,1023-614,44.0,1,new,1m0,,22,8,7m
5450.0,1023-559,42.0,1,new,1m5,,23,8,7m
5450.0,1023-559,41.0,1,new,1m5,,24,8,7m
5450.0,1023-559,40.0,1,new,1m5,,25,8,7m
5450.0,1023-559,39.0,1,new,1m5,,26,8,7m
5450.0,1023-559,38.0,1,new,1m5,,27,8,7m
5450.0,1023-559,37.0,1,new,1m5,,28,8,7m
5450.0,1023-559,36.0,1,new,1m5,,29,8,7m
5450.0,1023-559,35.0,1,new,1m5,,30,8,7m
5450.0,1023-559,34.0,1,new,1m5,,31,8,7m
5290.0,1023-906,32.0,1,new,1m5,,32,8,7m
3870.0,1023-426,20.0,1,new,3m0,,33,8,7m
5275.0,1023-856,31.0,1,new,1m5,,34,8,7m
5060.0,1023-314,30.0,1,new,1m5,,35,8,7m
5025.0,1023-227,29.0,1,new,1m5,,36,8,7m
4685.0,1023-538,28.0,1,new,2m0,,37,8,7m
4565.0,1023-973,27.0,1,new,2m0,,38,8,7m
4490.0,1023-878,26.0,1,new,2m5,,39,8,7m
4415.0,1023-895,25.0,1,new,2m5,,40,8,7m
4350.0,1023-915,24.0,1,new,2m5,,41,8,7m
4230.0,1023-363,23.0,1,new,2m5,,42,8,7m
4030.0,1023-837,22.0,1,new,2m5,,43,8,7m
4025.0,1023-840,21.0,1,new,2m5,,44,8,7m
5590.0,1023-486,43.0,1,new,waste,1410.0,45,8,7m
5695.0,1023-431,45.0,1,new,waste,1305.0,46,8,7m
5025.0,1023-227,29.0,1,new,waste,975.0,1,8,6m
5060.0,1023-314,30.0,1,new,waste,940.0,2,8,6m
5275.0,1023-856,31.0,1,new,waste,725.0,3,8,6m
5290.0,1023-906,32.0,1,new,waste,710.0,4,8,6m
5450.0,1023-559,33.0,1,new,waste,550.0,5,8,6m
5450.0,1023-559,34.0,1,new,waste,550.0,6,8,6m
5450.0,1023-559,35.0,1,new,waste,550.0,7,8,6m
5450.0,1023-559,36.0,1,new,waste,550.0,8,8,6m
5450.0,1023-559,37.0,1,new,waste,550.0,9,8,6m
5450.0,1023-559,38.0,1,new,waste,550.0,10,8,6m
5450.0,1023-559,39.0,1,new,waste,550.0,11,8,6m
5450.0,1023-559,40.0,1,new,waste,550.0,12,8,6m
5450.0,1023-559,41.0,1,new,waste,550.0,13,8,6m
5450.0,1023-559,42.0,1,new,waste,550.0,14,8,6m
5590.0,1023-486,43.0,1,new,waste,410.0,15,8,6m
5680.0,1023-614,44.0,1,new,waste,320.0,16,8,6m
5695.0,1023-431,45.0,1,new,waste,305.0,17,8,6m
1100.0,1023-205,0.0,1,1m5,waste,250.0,18,8,6m
2995.0,1023-502,17.0,1,3m0,waste,250.0,19,8,6m
2865.0,1023-879,16.0,1,3m0,waste,250.0,20,8,6m
2480.0,1023-860,14.0,1,2m5,waste,250.0,21,8,6m
2380.0,1023-762,13.0,1,2m5,waste,250.0,22,8,6m
2380.0,1023-762,12.0,1,2m5,waste,250.0,23,8,6m
2360.0,1023-220,11.0,1,2m5,waste,250.0,24,8,6m
2240.0,1023-644,10.0,1,2m5,waste,250.0,25,8,6m
1605.0,1023-576,8.0,1,2m0,waste,250.0,26,8,6m
1405.0,1023-297,7.0,1,1m5,waste,250.0,27,8,6m
1375.0,1023-796,6.0,1,1m5,waste,250.0,28,8,6m
1275.0,1023-953,5.0,1,1m5,waste,250.0,29,8,6m
1235.0,1023-329,4.0,1,1m5,waste,250.0,30,8,6m
1235.0,1023-329,3.0,1,1m5,waste,250.0,31,8,6m
1225.0,1023-255,2.0,1,1m5,waste,250.0,32,8,6m
1160.0,1023-748,1.0,1,1m5,waste,250.0,33,8,6m
1805.0,1023-725,9.0,1,2m0,waste,250.0,34,8,6m
2495.0,1023-596,15.0,1,new,3m5,,35,8,6m
3010.0,1023-349,18.0,1,new,2m5,,36,8,6m
3730.0,1023-679,19.0,1,new,2m0,,37,8,6m
3870.0,1023-426,20.0,1,new,2m0,,38,8,6m
4025.0,1023-840,21.0,1,new,1m5,,39,8,6m
4030.0,1023-837,22.0,1,new,1m5,,40,8,6m
4230.0,1023-363,23.0,1,new,1m5,,41,8,6m
4350.0,1023-915,24.0,1,new,1m5,,42,8,6m
4415.0,1023-895,25.0,1,new,1m5,,43,8,6m
4490.0,1023-878,26.0,1,new,1m5,,44,8,6m
4565.0,1023-973,27.0,1,new,waste,1435.0,45,8,6m
4685.0,1023-538,28.0,1,new,waste,1315.0,46,8,6m
5025.0,1023-227,29.0,1,new,waste,975.0,1,8,SS
5060.0,1023-314,30.0,1,new,waste,940.0,2,8,SS
5275.0,1023-856,31.0,1,new,waste,725.0,3,8,SS
5290.0,1023-906,32.0,1,new,waste,710.0,4,8,SS
5450.0,1023-559,33.0,1,new,waste,550.0,5,8,SS
5450.0,1023-559,34.0,1,new,waste,550.0,6,8,SS
5450.0,1023-559,35.0,1,new,waste,550.0,7,8,SS
5450.0,1023-559,36.0,1,new,waste,550.0,8,8,SS
5450.0,1023-559,37.0,1,new,waste,550.0,9,8,SS
5450.0,1023-559,38.0,1,new,waste,550.0,10,8,SS
5450.0,1023-559,39.0,1,new,waste,550.0,11,8,SS
5450.0,1023-559,40.0,1,new,waste,550.0,12,8,SS
5450.0,1023-559,41.0,1,new,waste,550.0,13,8,SS
5450.0,1023-559,42.0,1,new,waste,550.0,14,8,SS
5590.0,1023-486,43.0,1,new,waste,410.0,15,8,SS
5680.0,1023-614,44.0,1,new,waste,320.0,16,8,SS
5695.0,1023-431,45.0,1,new,waste,305.0,17,8,SS
1100.0,1023-205,0.0,1,1m25,waste,125.0,18,8,SS
3010.0,1023-349,18.0,1,3m25,waste,125.0,19,8,SS
2995.0,1023-502,17.0,1,3m0,waste,125.0,20,8,SS
2865.0,1023-879,16.0,1,3m0,waste,125.0,21,8,SS
2495.0,1023-596,15.0,1,2m5,waste,125.0,22,8,SS
2480.0,1023-860,14.0,1,2m5,waste,125.0,23,8,SS
2380.0,1023-762,13.0,1,2m5,waste,125.0,24,8,SS
2380.0,1023-762,12.0,1,2m5,waste,125.0,25,8,SS
2360.0,1023-220,11.0,1,2m5,waste,125.0,26,8,SS
3730.0,1023-679,19.0,1,3m75,waste,125.0,27,8,SS
1605.0,1023-576,8.0,1,1m75,waste,125.0,28,8,SS
1405.0,1023-297,7.0,1,1m5,waste,125.0,29,8,SS
1375.0,1023-796,6.0,1,1m5,waste,125.0,30,8,SS
1275.0,1023-953,5.0,1,1m5,waste,125.0,31,8,SS
1235.0,1023-329,4.0,1,1m25,waste,125.0,32,8,SS
1235.0,1023-329,3.0,1,1m25,waste,125.0,33,8,SS
1225.0,1023-255,2.0,1,1m25,waste,125.0,34,8,SS
1805.0,1023-725,9.0,1,2m0,waste,125.0,35,8,SS
1160.0,1023-748,1.0,2,new,,,36,8,SS
2240.0,1023-644,10.0,2,,2m5,,36,8,SS
3870.0,1023-426,20.0,1,new,2m0,,37,8,SS
4025.0,1023-840,21.0,1,new,1m75,,38,8,SS
4030.0,1023-837,22.0,1,new,1m75,,39,8,SS
4230.0,1023-363,23.0,1,new,1m75,,40,8,SS
4350.0,1023-915,24.0,1,new,1m5,,41,8,SS
4415.0,1023-895,25.0,1,new,1m5,,42,8,SS
4490.0,1023-878,26.0,1,new,1m5,,43,8,SS
4565.0,1023-973,27.0,1,new,1m25,,44,8,SS
4685.0,1023-538,28.0,1,new,1m25,,45,8,SS
3435.0,1023-900,22.0,1,3m5,waste,250.0,1,9,8m
3010.0,1023-898,21.0,1,3m5,waste,250.0,2,9,8m
2930.0,1023-507,20.0,1,3m0,waste,250.0,3,9,8m
2640.0,1023-249,19.0,1,3m0,waste,250.0,4,9,8m
2065.0,1023-247,16.0,1,2m5,waste,250.0,5,9,8m
2065.0,1023-247,15.0,1,2m5,waste,250.0,6,9,8m
1735.0,1023-216,14.0,1,2m0,waste,250.0,7,9,8m
1705.0,1023-785,13.0,1,2m0,waste,250.0,8,9,8m
2400.0,1023-788,17.0,1,2m5,waste,250.0,9,9,8m
1410.0,1023-813,6.0,2,3m5,,,10,9,8m
1660.0,1023-592,11.0,2,,waste,250.0,10,9,8m
1515.0,1023-989,10.0,2,3m5,,,11,9,8m
1705.0,1023-785,12.0,2,,waste,250.0,11,9,8m
1235.0,1023-265,4.0,2,2m5,,,12,9,8m
1235.0,1023-265,5.0,2,,waste,250.0,12,9,8m
1235.0,1023-265,1.0,2,2m5,,,13,9,8m
1235.0,1023-265,3.0,2,,waste,250.0,13,9,8m
1020.0,1023-395,0.0,2,2m5,,,14,9,8m
1465.0,1023-555,9.0,2,,waste,250.0,14,9,8m
3765.0,1023-302,33.0,2,new,,,15,9,8m
4220.0,1023-441,37.0,2,,waste,15.0,15,9,8m
3565.0,1023-980,24.0,2,new,,,16,9,8m
4410.0,1023-707,40.0,2,,waste,25.0,16,9,8m
1235.0,1023-265,2.0,3,new,,,17,9,8m
1440.0,1023-401,7.0,3,,,,17,9,8m
5275.0,1023-520,49.0,3,,waste,50.0,17,9,8m
3600.0,1023-665,32.0,2,new,,,18,9,8m
4335.0,1023-968,39.0,2,,waste,65.0,18,9,8m
2640.0,1023-249,18.0,2,new,,,19,9,8m
5275.0,1023-520,50.0,2,,waste,85.0,19,9,8m
3565.0,1023-980,25.0,2,new,,,20,9,8m
3795.0,1023-780,34.0,2,,waste,640.0,20,9,8m
3565.0,1023-980,26.0,2,new,,,21,9,8m
3565.0,1023-980,27.0,2,,waste,870.0,21,9,8m
3565.0,1023-980,28.0,2,new,,,22,9,8m
3565.0,1023-980,29.0,2,,waste,870.0,22,9,8m
