,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_0_47,5165,835,2,,,,
_0_48,5170,830,2,,,,
_0_49,5205,795,2,,,,
_0_50,5230,770,2,,,,
_0_51,5235,765,2,,,,
_0_52,5275,725,2,,,,
_0_53,5275,725,2,,,,
_0_54,5275,725,2,,,,
_0_55,5275,725,2,,,,
_0_56,5280,720,2,,,,
_0_57,5280,720,2,,,,
_0_58,5280,720,2,,,,
_0_59,5280,720,2,,,,
_0_60,5280,720,2,,,,
_0_61,5350,650,2,,,,
_0_62,5445,555,2,,,,
_0_63,5510,490,2,,,,
_0_64,5705,295,2,,,,
_0_65,5710,290,2,,,,
_0_66,5835,165,2,,,,
_0_67,5850,150,2,,,,
_0_68,5945,55,2,,,,
_1_2,1990,4010,2,,,2m0,EMPTY
_1_3,1990,4010,2,,,2m0,EMPTY
_1_4,1990,4010,2,,,2m0,EMPTY
_1_5,2045,3955,2,3m5,EMPTY,2m5,EMPTY
_1_6,2165,3835,2,3m5,EMPTY,2m5,EMPTY
_1_7,2225,3775,2,3m5,EMPTY,2m5,EMPTY
_1_8,2235,3765,2,3m5,EMPTY,2m5,EMPTY
_1_9,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_10,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_11,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_12,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_13,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_14,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_15,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_16,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_17,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_18,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_1_19,2490,3510,2,3m5,EMPTY,2m5,EMPTY
_1_20,2545,3455,2,3m0,EMPTY,3m0,EMPTY
_1_21,2680,3320,2,3m0,EMPTY,3m0,EMPTY
_1_22,2735,3265,2,3m0,EMPTY,3m0,EMPTY
_1_23,2885,3115,2,3m0,EMPTY,3m0,EMPTY
_1_24,2900,3100,2,3m0,EMPTY,3m0,EMPTY
_1_25,3045,2955,2,2m5,EMPTY,3m5,EMPTY
_1_26,3285,2715,2,2m5,EMPTY,3m5,EMPTY
_1_27,3500,2500,2,2m5,EMPTY,,
_1_28,3530,2470,2,2m0,EMPTY,,
_1_29,3745,2255,2,2m0,EMPTY,,
_1_30,3805,2195,2,2m0,EMPTY,,
_1_31,3880,2120,2,2m0,EMPTY,,
_1_32,3990,2010,2,2m0,EMPTY,,
_1_33,4075,1925,2,1m5,EMPTY,,
_1_34,4155,1845,2,1m5,EMPTY,,
_1_35,4215,1785,2,1m5,EMPTY,,
_1_36,4245,1755,2,1m5,EMPTY,,
_1_37,4740,1260,2,1m0,EMPTY,,
_1_38,4770,1230,2,1m0,EMPTY,,
_1_39,4785,1215,2,1m0,EMPTY,,
_1_40,4815,1185,2,1m0,EMPTY,,
_1_41,4990,1010,2,1m0,EMPTY,,
_1_42,5010,990,2,,,,
_1_43,5030,970,2,,,,
_1_44,5075,925,2,,,,
_1_45,5085,915,2,,,,
_1_46,5195,805,2,,,,
_1_47,5195,805,2,,,,
_1_48,5200,800,2,,,,
_1_49,5235,765,2,,,,
_1_50,5260,740,2,,,,
_1_51,5265,735,2,,,,
_1_52,5305,695,2,,,,
_1_53,5305,695,2,,,,
_1_54,5305,695,2,,,,
_1_55,5305,695,2,,,,
_1_56,5310,690,2,,,,
_1_57,5310,690,2,,,,
_1_58,5310,690,2,,,,
_1_59,5310,690,2,,,,
_1_60,5310,690,2,,,,
_1_61,5380,620,2,,,,
_1_62,5475,525,2,,,,
_1_63,5540,460,2,,,,
_1_64,5735,265,2,,,,
_1_65,5740,260,2,,,,
_1_66,5865,135,2,,,,
_1_67,5880,120,2,,,,
_1_68,5975,25,2,,,,
_2_3,1990,4010,2,,,2m0,EMPTY
_2_4,1990,4010,2,,,2m0,EMPTY
_2_5,2045,3955,2,3m5,EMPTY,2m5,EMPTY
_2_6,2165,3835,2,3m5,EMPTY,2m5,EMPTY
_2_7,2225,3775,2,3m5,EMPTY,2m5,EMPTY
_2_8,2235,3765,2,3m5,EMPTY,2m5,EMPTY
_2_9,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_10_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_11_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_12_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_13_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_14_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_15_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_16_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_17_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_18_2,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_19_2,2490,3510,2,3m5,EMPTY,2m5,EMPTY
_2_20,2545,3455,2,3m0,EMPTY,3m0,EMPTY
_2_21,2680,3320,2,3m0,EMPTY,3m0,EMPTY
_2_22,2735,3265,2,3m0,EMPTY,3m0,EMPTY
_2_23,2885,3115,2,3m0,EMPTY,3m0,EMPTY
_2_24,2900,3100,2,3m0,EMPTY,3m0,EMPTY
_2_25,3045,2955,2,2m5,EMPTY,3m5,EMPTY
_2_26,3285,2715,2,2m5,EMPTY,3m5,EMPTY
_2_27,3500,2500,2,2m5,EMPTY,,
_2_28,3530,2470,2,2m0,EMPTY,,
_2_29,3745,2255,2,2m0,EMPTY,,
_2_30,3805,2195,2,2m0,EMPTY,,
_2_31,3880,2120,2,2m0,EMPTY,,
_2_32,3990,2010,2,2m0,EMPTY,,
_2_33,4075,1925,2,1m5,EMPTY,,
_2_34,4155,1845,2,1m5,EMPTY,,
_2_35,4215,1785,2,1m5,EMPTY,,
_2_36,4245,1755,2,1m5,EMPTY,,
_2_37,4740,1260,2,1m0,EMPTY,,
_2_38,4770,1230,2,1m0,EMPTY,,
_2_39,4785,1215,2,1m0,EMPTY,,
_2_40,4815,1185,2,1m0,EMPTY,,
_2_41,4990,1010,2,1m0,EMPTY,,
_2_42,5010,990,2,,,,
_2_43,5030,970,2,,,,
_2_44,5075,925,2,,,,
_2_45,5085,915,2,,,,
_2_46,5195,805,2,,,,
_2_47,5195,805,2,,,,
_2_48,5200,800,2,,,,
_2_49,5235,765,2,,,,
_2_50,5260,740,2,,,,
_2_51,5265,735,2,,,,
_2_52,5305,695,2,,,,
_2_53,5305,695,2,,,,
_2_54,5305,695,2,,,,
_2_55,5305,695,2,,,,
_2_56,5310,690,2,,,,
_2_57,5310,690,2,,,,
_2_58,5310,690,2,,,,
_2_59,5310,690,2,,,,
_2_60,5310,690,2,,,,
_2_61,5380,620,2,,,,
_2_62,5475,525,2,,,,
_2_63,5540,460,2,,,,
_2_64,5735,265,2,,,,
_2_65,5740,260,2,,,,
_2_66,5865,135,2,,,,
_2_67,5880,120,2,,,,
_2_68,5975,25,2,,,,
_3_4,1990,4010,2,,,2m0,EMPTY
_3_5,2045,3955,2,3m5,EMPTY,2m5,EMPTY
_3_6,2165,3835,2,3m5,EMPTY,2m5,EMPTY
_3_7,2225,3775,2,3m5,EMPTY,2m5,EMPTY
_3_8,2235,3765,2,3m5,EMPTY,2m5,EMPTY
_3_9,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_10_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_11_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_12_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_13_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_14_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_15_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_16_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_17_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_18_3,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_19_3,2490,3510,2,3m5,EMPTY,2m5,EMPTY
_20_3,2545,3455,2,3m0,EMPTY,3m0,EMPTY
_21_3,2680,3320,2,3m0,EMPTY,3m0,EMPTY
_22_3,2735,3265,2,3m0,EMPTY,3m0,EMPTY
_23_3,2885,3115,2,3m0,EMPTY,3m0,EMPTY
_24_3,2900,3100,2,3m0,EMPTY,3m0,EMPTY
_25_3,3045,2955,2,2m5,EMPTY,3m5,EMPTY
_26_3,3285,2715,2,2m5,EMPTY,3m5,EMPTY
_27_3,3500,2500,2,2m5,EMPTY,,
_28_3,3530,2470,2,2m0,EMPTY,,
_29_3,3745,2255,2,2m0,EMPTY,,
_3_30,3805,2195,2,2m0,EMPTY,,
_3_31,3880,2120,2,2m0,EMPTY,,
_3_32,3990,2010,2,2m0,EMPTY,,
_3_33,4075,1925,2,1m5,EMPTY,,
_3_34,4155,1845,2,1m5,EMPTY,,
_3_35,4215,1785,2,1m5,EMPTY,,
_3_36,4245,1755,2,1m5,EMPTY,,
_3_37,4740,1260,2,1m0,EMPTY,,
_3_38,4770,1230,2,1m0,EMPTY,,
_3_39,4785,1215,2,1m0,EMPTY,,
_3_40,4815,1185,2,1m0,EMPTY,,
_3_41,4990,1010,2,1m0,EMPTY,,
_3_42,5010,990,2,,,,
_3_43,5030,970,2,,,,
_3_44,5075,925,2,,,,
_3_45,5085,915,2,,,,
_3_46,5195,805,2,,,,
_3_47,5195,805,2,,,,
_3_48,5200,800,2,,,,
_3_49,5235,765,2,,,,
_3_50,5260,740,2,,,,
_3_51,5265,735,2,,,,
_3_52,5305,695,2,,,,
_3_53,5305,695,2,,,,
_3_54,5305,695,2,,,,
_3_55,5305,695,2,,,,
_3_56,5310,690,2,,,,
_3_57,5310,690,2,,,,
_3_58,5310,690,2,,,,
_3_59,5310,690,2,,,,
_3_60,5310,690,2,,,,
_3_61,5380,620,2,,,,
_3_62,5475,525,2,,,,
_3_63,5540,460,2,,,,
_3_64,5735,265,2,,,,
_3_65,5740,260,2,,,,
_3_66,5865,135,2,,,,
_3_67,5880,120,2,,,,
_3_68,5975,25,2,,,,
_4_5,2045,3955,2,3m5,EMPTY,2m5,EMPTY
_4_6,2165,3835,2,3m5,EMPTY,2m5,EMPTY
_4_7,2225,3775,2,3m5,EMPTY,2m5,EMPTY
_4_8,2235,3765,2,3m5,EMPTY,2m5,EMPTY
_4_9,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_10_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_11_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_12_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_13_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_14_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_15_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_16_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_17_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_18_4,2250,3750,2,3m5,EMPTY,2m5,EMPTY
_19_4,2490,3510,2,3m5,EMPTY,2m5,EMPTY
_20_4,2545,3455,2,3m0,EMPTY,3m0,EMPTY
_21_4,2680,3320,2,3m0,EMPTY,3m0,EMPTY
_22_4,2735,3265,2,3m0,EMPTY,3m0,EMPTY
_23_4,2885,3115,2,3m0,EMPTY,3m0,EMPTY
_24_4,2900,3100,2,3m0,EMPTY,3m0,EMPTY
_25_4,3045,2955,2,2m5,EMPTY,3m5,EMPTY
_26_4,3285,2715,2,2m5,EMPTY,3m5,EMPTY
_27_4,3500,2500,2,2m5,EMPTY,,
_28_4,3530,2470,2,2m0,EMPTY,,
_29_4,3745,2255,2,2m0,EMPTY,,
_30_4,3805,2195,2,2m0,EMPTY,,
_31_4,3880,2120,2,2m0,EMPTY,,
_32_4,3990,2010,2,2m0,EMPTY,,
_33_4,4075,1925,2,1m5,EMPTY,,
_34_4,4155,1845,2,1m5,EMPTY,,
_35_4,4215,1785,2,1m5,EMPTY,,
_36_4,4245,1755,2,1m5,EMPTY,,
_37_4,4740,1260,2,1m0,EMPTY,,
_38_4,4770,1230,2,1m0,EMPTY,,
_39_4,4785,1215,2,1m0,EMPTY,,
_4_40,4815,1185,2,1m0,EMPTY,,
_4_41,4990,1010,2,1m0,EMPTY,,
_4_42,5010,990,2,,,,
_4_43,5030,970,2,,,,
_4_44,5075,925,2,,,,
_4_45,5085,915,2,,,,
_4_46,5195,805,2,,,,
_4_47,5195,805,2,,,,
_4_48,5200,800,2,,,,
_4_49,5235,765,2,,,,
_4_50,5260,740,2,,,,
_4_51,5265,735,2,,,,
_4_52,5305,695,2,,,,
_4_53,5305,695,2,,,,
_4_54,5305,695,2,,,,
_4_55,5305,695,2,,,,
_4_56,5310,690,2,,,,
_4_57,5310,690,2,,,,
_4_58,5310,690,2,,,,
_4_59,5310,690,2,,,,
_4_60,5310,690,2,,,,
_4_61,5380,620,2,,,,
_4_62,5475,525,2,,,,
_4_63,5540,460,2,,,,
_4_64,5735,265,2,,,,
_4_65,5740,260,2,,,,
_4_66,5865,135,2,,,,
_4_67,5880,120,2,,,,
_4_68,5975,25,2,,,,
_5_6,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_5_7,2280,3720,2,3m5,EMPTY,2m5,EMPTY
_5_8,2290,3710,2,3m5,EMPTY,2m5,EMPTY
_5_9,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_10_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_11_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_12_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_13_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_14_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_15_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_16_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_17_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_18_5,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_19_5,2545,3455,2,3m0,EMPTY,3m0,EMPTY
_20_5,2600,3400,2,3m0,EMPTY,3m0,EMPTY
_21_5,2735,3265,2,3m0,EMPTY,3m0,EMPTY
_22_5,2790,3210,2,3m0,EMPTY,3m0,EMPTY
_23_5,2940,3060,2,3m0,EMPTY,3m0,EMPTY
_24_5,2955,3045,2,3m0,EMPTY,3m0,EMPTY
_25_5,3100,2900,2,2m5,EMPTY,3m5,EMPTY
_26_5,3340,2660,2,2m5,EMPTY,3m5,EMPTY
_27_5,3555,2445,2,2m0,EMPTY,,
_28_5,3585,2415,2,2m0,EMPTY,,
_29_5,3800,2200,2,2m0,EMPTY,,
_30_5,3860,2140,2,2m0,EMPTY,,
_31_5,3935,2065,2,2m0,EMPTY,,
_32_5,4045,1955,2,1m5,EMPTY,,
_33_5,4130,1870,2,1m5,EMPTY,,
_34_5,4210,1790,2,1m5,EMPTY,,
_35_5,4270,1730,2,1m5,EMPTY,,
_36_5,4300,1700,2,1m5,EMPTY,,
_37_5,4795,1205,2,1m0,EMPTY,,
_38_5,4825,1175,2,1m0,EMPTY,,
_39_5,4840,1160,2,1m0,EMPTY,,
_40_5,4870,1130,2,1m0,EMPTY,,
_41_5,5045,955,2,,,,
_42_5,5065,935,2,,,,
_43_5,5085,915,2,,,,
_44_5,5130,870,2,,,,
_45_5,5140,860,2,,,,
_46_5,5250,750,2,,,,
_47_5,5250,750,2,,,,
_48_5,5255,745,2,,,,
_49_5,5290,710,2,,,,
_5_50,5315,685,2,,,,
_5_51,5320,680,2,,,,
_5_52,5360,640,2,,,,
_5_53,5360,640,2,,,,
_5_54,5360,640,2,,,,
_5_55,5360,640,2,,,,
_5_56,5365,635,2,,,,
_5_57,5365,635,2,,,,
_5_58,5365,635,2,,,,
_5_59,5365,635,2,,,,
_5_60,5365,635,2,,,,
_5_61,5435,565,2,,,,
_5_62,5530,470,2,,,,
_5_63,5595,405,2,,,,
_5_64,5790,210,2,,,,
_5_65,5795,205,2,,,,
_5_66,5920,80,2,,,,
_5_67,5935,65,2,,,,
_6_7,2400,3600,2,3m5,EMPTY,2m5,EMPTY
_6_8,2410,3590,2,3m5,EMPTY,2m5,EMPTY
_6_9,2425,3575,2,3m5,EMPTY,2m5,EMPTY
