total_linear,total_waste,max_waste,retrieved,stored,consumed_stock,consumed_linear,waste_ratio,day,seq_name
129.145,10.52,1475.0,9,13,25,150.0,7.9,21,SS
172.625,4.705,250.0,18,15,22,176.0,2.73,22,8m
172.625,6.27,250.0,25,25,27,189.0,3.63,22,7m
172.625,19.205,1435.0,23,14,29,174.0,11.13,22,6m
172.625,17.815,1435.0,19,18,32,192.0,10.02,22,SS
177.105,6.305,665.0,22,19,23,184.0,3.56,23,8m
177.105,8.825,1325.0,30,23,24,168.0,4.98,23,7m
177.105,14.73,1495.0,14,20,36,216.0,8.32,23,6m
177.105,9.35,1110.0,19,23,34,204.0,5.28,23,SS
141.73,3.91,250.0,15,11,17,136.0,2.76,24,8m
141.73,7.735,1465.0,19,19,23,161.0,5.46,24,7m
141.73,10.04,1420.0,20,17,24,144.0,7.08,24,6m
141.73,6.38,920.0,17,19,25,150.0,4.32,24,SS
133.585,3.915,250.0,15,11,16,128.0,2.93,25,8m
133.585,4.875,250.0,19,15,18,126.0,3.65,25,7m
133.585,12.765,1150.0,14,8,22,132.0,9.56,25,6m
133.585,10.69,1150.0,13,13,25,150.0,8.0,25,SS
184.17,5.48,860.0,11,11,24,192.0,2.98,26,8m
184.17,14.825,1785.0,11,22,34,238.0,7.9,26,7m
184.17,14.04,1495.0,10,22,38,228.0,7.62,26,6m
184.17,11.755,1420.0,21,18,31,186.0,6.35,26,SS
117.125,4.55,910.0,14,11,15,120.0,3.88,27,8m
117.125,5.25,250.0,21,17,17,119.0,4.48,27,7m
117.125,8.525,910.0,17,12,19,114.0,7.28,27,6m
117.125,7.125,1100.0,14,13,21,126.0,6.08,27,SS
126.495,3.58,250.0,13,12,16,128.0,2.83,28,8m
126.495,6.155,1330.0,19,14,17,119.0,4.87,28,7m
126.495,14.085,1350.0,7,9,25,150.0,11.13,28,6m
126.495,10.375,1350.0,17,10,20,120.0,8.2,28,SS
147.985,3.82,980.0,10,10,19,152.0,2.58,29,8m
147.985,10.515,1895.0,17,13,21,147.0,6.96,29,7m
147.985,13.095,1490.0,9,17,31,186.0,8.85,29,6m
147.985,11.115,1490.0,9,21,32,192.0,7.3,29,SS
