lg,label,rep,depth,origin,excess,rest,cnt
5030,1023-966,75,1,new,waste,970.0,1
5035,1023-420,76,1,new,waste,965.0,2
5040,1023-527,77,1,new,waste,960.0,3
5060,1023-554,78,1,new,waste,940.0,4
5200,1023-625,79,1,new,waste,800.0,5
5290,1023-354,80,1,new,waste,710.0,6
5330,1023-796,81,1,new,waste,670.0,7
5455,1023-577,82,1,new,waste,545.0,8
980,1023-786,0,3,new,,,9
2430,1023-823,26,3,,,,9
2585,1023-442,31,3,,waste,5.0,9
1455,1023-766,10,3,new,,,10
2035,1023-806,23,3,,,,10
2505,1023-495,28,3,,waste,5.0,10
980,1023-783,1,3,new,,,11
1615,1023-393,17,3,,,,11
3400,1023-719,36,3,,waste,5.0,11
1455,1023-766,11,3,new,,,12
1825,1023-611,20,3,,,,12
2715,1023-760,32,3,,waste,5.0,12
980,1023-783,2,4,new,,,13
980,1023-783,3,4,,,,13
1455,1023-766,12,4,,,,13
2580,1023-617,30,4,,waste,5.0,13
1455,1023-766,13,4,new,,,14
1455,1023-766,14,4,,,,14
1460,1023-215,16,4,,,,14
1625,1023-673,18,4,,waste,5.0,14
1305,1023-498,9,3,new,,,15
2135,1023-761,24,3,,,,15
2550,1023-620,29,3,,waste,10.0,15
980,1023-783,4,3,new,,,16
1000,1023-888,7,3,,,,16
4005,1023-985,42,3,,waste,15.0,16
980,1023-783,5,4,new,,,17
1080,1023-922,8,4,,,,17
1455,1023-766,15,4,,,,17
2470,1023-475,27,4,,waste,15.0,17
1740,1023-530,19,2,new,,,18
4230,1023-767,47,2,,waste,30.0,18
1995,1023-219,21,2,new,,,19
3955,1023-929,41,2,,waste,50.0,19
980,1023-783,6,2,new,,,20
4880,1023-945,68,2,,waste,140.0,20
2025,1023-845,22,1,2m5,waste,250.0,21
2315,1023-309,25,1,2m5,waste,250.0,22
3100,1023-639,33,1,3m5,waste,250.0,23
3350,1023-842,34,1,3m5,waste,250.0,24
3360,1023-960,35,1,3m5,waste,250.0,25
3435,1023-291,37,1,3m5,waste,250.0,26
3580,1023-894,38,1,new,2m0,,27
4575,1023-526,58,1,new,1m0,,28
4880,1023-945,73,1,new,1m0,,29
4880,1023-945,72,1,new,1m0,,30
4880,1023-945,71,1,new,1m0,,31
4880,1023-945,70,1,new,1m0,,32
4880,1023-945,69,1,new,1m0,,33
4880,1023-945,67,1,new,1m0,,34
3605,1023-499,39,1,new,2m0,,35
4460,1023-249,52,1,new,1m5,,36
4355,1023-847,51,1,new,1m5,,37
4345,1023-570,50,1,new,1m5,,38
4280,1023-392,49,1,new,1m5,,39
4230,1023-559,48,1,new,1m5,,40
4185,1023-483,46,1,new,1m5,,41
4185,1023-483,45,1,new,1m5,,42
4155,1023-551,44,1,new,1m5,,43
4045,1023-242,43,1,new,1m5,,44
3900,1023-547,40,1,new,2m0,,45
4515,1023-636,53,1,new,waste,1485.0,46
4550,1023-209,54,1,new,waste,1450.0,47
4550,1023-209,55,1,new,waste,1450.0,48
4555,1023-562,56,1,new,waste,1445.0,49
4575,1023-550,57,1,new,waste,1425.0,50
4590,1023-750,59,1,new,waste,1410.0,51
4590,1023-750,60,1,new,waste,1410.0,52
4590,1023-750,61,1,new,waste,1410.0,53
4635,1023-489,62,1,new,waste,1365.0,54
4725,1023-557,63,1,new,waste,1275.0,55
4735,1023-949,64,1,new,waste,1265.0,56
4820,1023-780,65,1,new,waste,1180.0,57
4880,1023-945,66,1,new,waste,1120.0,58
4880,1023-945,74,1,new,waste,1120.0,59
