,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_0_42,4985,1015,2,1m0,EMPTY,,
_0_43,5025,975,2,,,,
_0_44,5135,865,2,,,,
_0_45,5165,835,2,,,,
_0_46,5165,835,2,,,,
_0_47,5210,790,2,,,,
_0_48,5210,790,2,,,,
_0_49,5260,740,2,,,,
_0_50,5325,675,2,,,,
_0_51,5335,665,2,,,,
_0_52,5440,560,2,,,,
_0_53,5495,505,2,,,,
_0_54,5530,470,2,,,,
_0_55,5530,470,2,,,,
_0_56,5535,465,2,,,,
_0_57,5555,445,2,,,,
_0_58,5555,445,2,,,,
_0_59,5570,430,2,,,,
_0_60,5570,430,2,,,,
_0_61,5570,430,2,,,,
_0_62,5615,385,2,,,,
_0_63,5705,295,2,,,,
_0_64,5715,285,2,,,,
_0_65,5800,200,2,,,,
_0_66,5860,140,2,,,,
_0_67,5860,140,2,,,,
_0_68,5860,140,2,,,,
_0_69,5860,140,2,,,,
_0_70,5860,140,2,,,,
_0_71,5860,140,2,,,,
_0_72,5860,140,2,,,,
_0_73,5860,140,2,,,,
_0_74,5860,140,2,,,,
_1_2,1960,4040,2,,,2m0,EMPTY
_1_3,1960,4040,2,,,2m0,EMPTY
_1_4,1960,4040,2,,,2m0,EMPTY
_1_5,1960,4040,2,,,2m0,EMPTY
_1_6,1960,4040,2,,,2m0,EMPTY
_1_7,1980,4020,2,,,2m0,EMPTY
_1_8,2060,3940,2,3m5,EMPTY,2m5,EMPTY
_1_9,2285,3715,2,3m5,EMPTY,2m5,EMPTY
_1_10,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_1_11,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_1_12,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_1_13,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_1_14,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_1_15,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_1_16,2440,3560,2,3m5,EMPTY,2m5,EMPTY
_1_17,2595,3405,2,3m0,EMPTY,3m0,EMPTY
_1_18,2605,3395,2,3m0,EMPTY,3m0,EMPTY
_1_19,2720,3280,2,3m0,EMPTY,3m0,EMPTY
_1_20,2805,3195,2,3m0,EMPTY,3m0,EMPTY
_1_21,2975,3025,2,3m0,EMPTY,3m0,EMPTY
_1_22,3005,2995,2,2m5,EMPTY,3m5,EMPTY
_1_23,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_1_24,3115,2885,2,2m5,EMPTY,3m5,EMPTY
_1_25,3295,2705,2,2m5,EMPTY,3m5,EMPTY
_1_26,3410,2590,2,2m5,EMPTY,3m5,EMPTY
_1_27,3450,2550,2,2m5,EMPTY,3m5,EMPTY
_1_28,3485,2515,2,2m5,EMPTY,3m5,EMPTY
_1_29,3530,2470,2,2m0,EMPTY,,
_1_30,3560,2440,2,2m0,EMPTY,,
_1_31,3565,2435,2,2m0,EMPTY,,
_1_32,3695,2305,2,2m0,EMPTY,,
_1_33,4080,1920,2,1m5,EMPTY,,
_1_34,4330,1670,2,1m5,EMPTY,,
_1_35,4340,1660,2,1m5,EMPTY,,
_1_36,4380,1620,2,1m5,EMPTY,,
_1_37,4415,1585,2,1m5,EMPTY,,
_1_38,4560,1440,2,1m0,EMPTY,,
_1_39,4585,1415,2,1m0,EMPTY,,
_1_40,4880,1120,2,1m0,EMPTY,,
_1_41,4935,1065,2,1m0,EMPTY,,
_1_42,4985,1015,2,1m0,EMPTY,,
_1_43,5025,975,2,,,,
_1_44,5135,865,2,,,,
_1_45,5165,835,2,,,,
_1_46,5165,835,2,,,,
_1_47,5210,790,2,,,,
_1_48,5210,790,2,,,,
_1_49,5260,740,2,,,,
_1_50,5325,675,2,,,,
_1_51,5335,665,2,,,,
_1_52,5440,560,2,,,,
_1_53,5495,505,2,,,,
_1_54,5530,470,2,,,,
_1_55,5530,470,2,,,,
_1_56,5535,465,2,,,,
