mini,maxi,qtt,status,name,day,seq_name
1000,1250,9,CRIT_FULL,1m0,3,SS
1250,1500,7,OPEN,1m25,3,SS
1500,1750,2,OPEN,1m5,3,SS
1750,2000,4,OPEN,1m75,3,SS
2000,2250,0,EMPTY,2m0,3,SS
2250,2500,1,CRIT_EMPTY,2m25,3,SS
2500,2750,5,OPEN,2m5,3,SS
2750,3000,3,OPEN,2m75,3,SS
3000,3250,1,CRIT_EMPTY,3m0,3,SS
3250,3500,0,EMPTY,3m25,3,SS
3500,3750,0,EMPTY,3m5,3,SS
3750,4000,1,CRIT_EMPTY,3m75,3,SS
1000,1500,4,CRIT_EMPTY,1m0,4,8m
1500,2000,0,EMPTY,1m5,4,8m
2000,2500,1,CRIT_EMPTY,2m0,4,8m
2500,3000,12,OPEN,2m5,4,8m
3000,3500,3,CRIT_EMPTY,3m0,4,8m
3500,4000,10,OPEN,3m5,4,8m
1000,1500,21,CRIT_FULL,1m0,4,7m
1500,2000,12,OPEN,1m5,4,7m
2000,2500,11,OPEN,2m0,4,7m
2500,3000,11,OPEN,2m5,4,7m
3000,3500,4,CRIT_EMPTY,3m0,4,7m
3500,4000,2,CRIT_EMPTY,3m5,4,7m
1000,1500,25,FULL,1m0,4,6m
1500,2000,11,OPEN,1m5,4,6m
2000,2500,3,CRIT_EMPTY,2m0,4,6m
2500,3000,4,CRIT_EMPTY,2m5,4,6m
3000,3500,1,CRIT_EMPTY,3m0,4,6m
3500,4000,0,EMPTY,3m5,4,6m
1000,1250,9,CRIT_FULL,1m0,4,SS
1250,1500,2,OPEN,1m25,4,SS
1500,1750,3,OPEN,1m5,4,SS
1750,2000,10,FULL,1m75,4,SS
2000,2250,2,OPEN,2m0,4,SS
2250,2500,1,CRIT_EMPTY,2m25,4,SS
2500,2750,5,OPEN,2m5,4,SS
2750,3000,4,OPEN,2m75,4,SS
3000,3250,0,EMPTY,3m0,4,SS
3250,3500,0,EMPTY,3m25,4,SS
3500,3750,0,EMPTY,3m5,4,SS
3750,4000,0,EMPTY,3m75,4,SS
1000,1500,5,CRIT_EMPTY,1m0,5,8m
1500,2000,0,EMPTY,1m5,5,8m
2000,2500,0,EMPTY,2m0,5,8m
2500,3000,10,OPEN,2m5,5,8m
3000,3500,9,OPEN,3m0,5,8m
3500,4000,2,CRIT_EMPTY,3m5,5,8m
1000,1500,22,CRIT_FULL,1m0,5,7m
1500,2000,10,OPEN,1m5,5,7m
2000,2500,8,OPEN,2m0,5,7m
